[2025-12-20 14:06:34] [INFO] ML model and tokenizer loaded successfully.
[2025-12-20 14:06:34] [INFO] Started server process [32640]
[2025-12-20 14:06:34] [INFO] Waiting for application startup.
[2025-12-20 14:06:34] [INFO] [Lifespan] Server is starting up...
[2025-12-20 14:06:34] [INFO] Application startup complete.
[2025-12-20 14:06:34] [INFO] Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 11.52ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 33.16ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 33.16ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.66ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 48.11ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.11ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.11ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.11ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.11ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 48.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 48.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 49.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 10.14ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 22.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 22.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 22.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 23.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.26ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.26ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.26ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.26ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.26ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.26ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.25ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.25ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.26ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 33.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 33.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 33.39ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 33.39ms
