[2025-12-20 13:24:18] [INFO] ML model and tokenizer loaded successfully.
[2025-12-20 13:24:18] [INFO] Started server process [1]
[2025-12-20 13:24:18] [INFO] Waiting for application startup.
[2025-12-20 13:24:18] [INFO] [Lifespan] Server is starting up...
[2025-12-20 13:24:18] [INFO] Application startup complete.
[2025-12-20 13:24:18] [INFO] Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 655.69ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 655.98ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 656.08ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 656.22ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 656.37ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 656.51ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 656.64ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 656.75ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 656.86ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 656.97ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 657.05ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 657.16ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 657.26ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 657.39ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 657.52ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 657.66ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 657.79ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 657.90ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 658.01ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 658.12ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 658.20ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 658.30ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 658.40ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 658.53ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 658.64ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 658.75ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1344.49ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1344.78ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1344.93ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.03ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.19ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.31ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.43ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.56ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.70ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.84ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.99ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1346.13ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.73ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.85ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1345.98ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1346.12ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1346.21ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1346.33ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1346.46ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1346.59ms
[2025-12-20 13:24:46] [INFO] REQ: POST /predict - Status: 200 - Czas: 1346.72ms
[2025-12-20 13:24:47] [INFO] REQ: POST /predict - Status: 200 - Czas: 1362.11ms
[2025-12-20 13:24:47] [INFO] REQ: POST /predict - Status: 200 - Czas: 1362.36ms
[2025-12-20 13:24:47] [INFO] REQ: POST /predict - Status: 200 - Czas: 1362.50ms
[2025-12-20 13:24:47] [INFO] REQ: POST /predict - Status: 200 - Czas: 1362.57ms
[2025-12-20 13:24:47] [INFO] REQ: POST /predict - Status: 200 - Czas: 1362.67ms
[2025-12-20 13:24:47] [INFO] REQ: POST /predict - Status: 200 - Czas: 1362.76ms
[2025-12-20 13:24:47] [INFO] REQ: POST /predict - Status: 200 - Czas: 1362.85ms
